2024-06-20 17:48:42, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.17, 351.24, 359.64), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.20, 351.20, 359.64), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.22, 351.21, 359.64), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.29, 351.20, 359.64), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (0.00, 1.49, 0.52), Head Rotation: (3.32, 351.19, 359.63), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.36, 351.17, 359.60), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.39, 351.16, 359.57), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.43, 351.18, 359.57), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.49, 351.17, 359.55), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
2024-06-20 17:48:42, Head Position: (-0.01, 1.49, 0.52), Head Rotation: (3.55, 351.20, 359.56), Left Controller Position: (0.00, 0.00, 0.00), Left Controller Rotation: (0.00, 0.00, 0.00), Right Controller Position: (0.00, 0.00, 0.00), Right Controller Rotation: (0.00, 0.00, 0.00)
