2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.89), Head Rotation: (16.30, 354.66, 3.77), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.81, 342.52, 7.67), Right Controller Position: (0.21, 0.60, -1.62), Right Controller Rotation: (2.10, 18.88, 345.46)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.89), Head Rotation: (16.11, 354.44, 3.71), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.81, 342.50, 7.60), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (2.02, 18.80, 345.46)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.89), Head Rotation: (15.56, 354.36, 3.69), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.72, 342.44, 7.42), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.96, 18.76, 345.44)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.89), Head Rotation: (14.99, 354.17, 3.61), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.61, 342.46, 7.33), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.84, 18.70, 345.44)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.90), Head Rotation: (14.31, 353.97, 3.50), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.54, 342.61, 7.31), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.70, 18.63, 345.46)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.90), Head Rotation: (13.67, 353.94, 3.42), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.51, 342.76, 7.26), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.60, 18.60, 345.49)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.90), Head Rotation: (13.23, 353.79, 3.32), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.45, 342.88, 7.19), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.57, 18.57, 345.48)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.90), Head Rotation: (12.92, 353.72, 3.28), Left Controller Position: (-0.04, 0.63, -1.62), Left Controller Rotation: (357.52, 342.91, 6.99), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.55, 18.56, 345.47)
2024-06-17 13:41:32, Head Position: (0.10, 0.96, -1.90), Head Rotation: (12.58, 353.57, 3.18), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.56, 342.87, 6.79), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.49, 18.54, 345.49)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (12.17, 353.58, 3.27), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.64, 342.79, 6.65), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.44, 18.48, 345.54)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (11.74, 353.45, 3.22), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.62, 342.76, 6.79), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.46, 18.44, 345.55)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (11.43, 353.44, 3.23), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.60, 342.78, 6.86), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.47, 18.40, 345.57)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (11.12, 353.35, 3.31), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.54, 342.90, 6.95), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.45, 18.33, 345.61)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (10.71, 353.29, 3.30), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.51, 342.92, 6.94), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.45, 18.32, 345.62)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (10.47, 353.30, 3.36), Left Controller Position: (-0.03, 0.63, -1.63), Left Controller Rotation: (357.41, 342.98, 6.91), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.40, 18.21, 345.65)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (10.21, 353.26, 3.40), Left Controller Position: (-0.03, 0.63, -1.62), Left Controller Rotation: (357.40, 342.97, 6.94), Right Controller Position: (0.20, 0.60, -1.62), Right Controller Rotation: (1.37, 18.12, 345.67)
2024-06-17 13:41:32, Head Position: (0.10, 0.97, -1.90), Head Rotation: (10.00, 353.23, 3.43), Left Controller Position: (-0.03, 0.63, -1.62), Left Controller Rotation: (357.42, 343.02, 7.00), Right Controller Position: (0.20, 0.60, -1.61), Right Controller Rotation: (1.35, 18.03, 345.66)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.89), Head Rotation: (9.73, 353.19, 3.47), Left Controller Position: (-0.03, 0.63, -1.61), Left Controller Rotation: (357.50, 343.07, 7.05), Right Controller Position: (0.20, 0.60, -1.61), Right Controller Rotation: (1.33, 17.95, 345.67)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.88), Head Rotation: (9.42, 353.15, 3.46), Left Controller Position: (-0.03, 0.63, -1.61), Left Controller Rotation: (357.53, 343.07, 7.06), Right Controller Position: (0.20, 0.60, -1.60), Right Controller Rotation: (1.31, 17.86, 345.70)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.88), Head Rotation: (9.18, 353.17, 3.53), Left Controller Position: (-0.03, 0.63, -1.60), Left Controller Rotation: (357.61, 343.09, 7.04), Right Controller Position: (0.20, 0.60, -1.60), Right Controller Rotation: (1.31, 17.79, 345.73)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.87), Head Rotation: (8.96, 353.10, 3.54), Left Controller Position: (-0.03, 0.63, -1.59), Left Controller Rotation: (357.63, 343.10, 7.04), Right Controller Position: (0.20, 0.60, -1.59), Right Controller Rotation: (1.32, 17.74, 345.74)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.86), Head Rotation: (8.82, 353.09, 3.58), Left Controller Position: (-0.03, 0.63, -1.58), Left Controller Rotation: (357.65, 343.11, 7.07), Right Controller Position: (0.20, 0.60, -1.58), Right Controller Rotation: (1.33, 17.72, 345.75)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.85), Head Rotation: (8.69, 353.04, 3.60), Left Controller Position: (-0.03, 0.63, -1.57), Left Controller Rotation: (357.69, 343.23, 7.15), Right Controller Position: (0.20, 0.60, -1.57), Right Controller Rotation: (1.33, 17.68, 345.77)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.84), Head Rotation: (8.52, 352.99, 3.62), Left Controller Position: (-0.04, 0.63, -1.56), Left Controller Rotation: (357.69, 343.30, 7.15), Right Controller Position: (0.20, 0.60, -1.56), Right Controller Rotation: (1.33, 17.61, 345.81)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.83), Head Rotation: (8.29, 352.94, 3.66), Left Controller Position: (-0.04, 0.63, -1.55), Left Controller Rotation: (357.69, 343.31, 7.13), Right Controller Position: (0.20, 0.60, -1.55), Right Controller Rotation: (1.33, 17.61, 345.82)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.82), Head Rotation: (8.13, 352.93, 3.68), Left Controller Position: (-0.04, 0.63, -1.54), Left Controller Rotation: (357.77, 343.40, 7.10), Right Controller Position: (0.20, 0.60, -1.54), Right Controller Rotation: (1.34, 17.58, 345.82)
2024-06-17 13:41:33, Head Position: (0.10, 0.97, -1.81), Head Rotation: (8.00, 352.88, 3.67), Left Controller Position: (-0.04, 0.63, -1.53), Left Controller Rotation: (357.85, 343.45, 7.11), Right Controller Position: (0.19, 0.60, -1.52), Right Controller Rotation: (1.35, 17.57, 345.83)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.79), Head Rotation: (7.92, 352.81, 3.70), Left Controller Position: (-0.04, 0.63, -1.52), Left Controller Rotation: (357.90, 343.45, 7.09), Right Controller Position: (0.19, 0.60, -1.51), Right Controller Rotation: (1.37, 17.57, 345.83)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.78), Head Rotation: (7.88, 352.76, 3.72), Left Controller Position: (-0.04, 0.63, -1.50), Left Controller Rotation: (357.95, 343.49, 7.04), Right Controller Position: (0.19, 0.60, -1.50), Right Controller Rotation: (1.40, 17.57, 345.84)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.76), Head Rotation: (7.87, 352.70, 3.73), Left Controller Position: (-0.04, 0.63, -1.49), Left Controller Rotation: (358.08, 343.47, 6.98), Right Controller Position: (0.19, 0.60, -1.48), Right Controller Rotation: (1.44, 17.59, 345.84)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.75), Head Rotation: (7.88, 352.63, 3.74), Left Controller Position: (-0.04, 0.63, -1.48), Left Controller Rotation: (358.07, 343.46, 7.03), Right Controller Position: (0.19, 0.60, -1.47), Right Controller Rotation: (1.49, 17.61, 345.85)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.75), Head Rotation: (7.88, 352.63, 3.74), Left Controller Position: (-0.04, 0.63, -1.48), Left Controller Rotation: (358.07, 343.46, 7.03), Right Controller Position: (0.19, 0.60, -1.47), Right Controller Rotation: (1.49, 17.61, 345.85)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.74), Head Rotation: (7.85, 352.57, 3.76), Left Controller Position: (-0.04, 0.63, -1.46), Left Controller Rotation: (358.09, 343.44, 7.01), Right Controller Position: (0.19, 0.60, -1.46), Right Controller Rotation: (1.51, 17.63, 345.86)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.72), Head Rotation: (7.84, 352.51, 3.76), Left Controller Position: (-0.04, 0.63, -1.45), Left Controller Rotation: (358.12, 343.44, 6.97), Right Controller Position: (0.19, 0.60, -1.44), Right Controller Rotation: (1.53, 17.66, 345.86)
2024-06-17 13:41:33, Head Position: (0.09, 0.97, -1.71), Head Rotation: (7.89, 352.46, 3.76), Left Controller Position: (-0.04, 0.63, -1.43), Left Controller Rotation: (358.16, 343.45, 6.96), Right Controller Position: (0.19, 0.60, -1.43), Right Controller Rotation: (1.55, 17.67, 345.85)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.69), Head Rotation: (8.07, 352.43, 3.77), Left Controller Position: (-0.05, 0.63, -1.41), Left Controller Rotation: (358.20, 343.46, 6.97), Right Controller Position: (0.18, 0.60, -1.41), Right Controller Rotation: (1.56, 17.70, 345.84)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.68), Head Rotation: (8.16, 352.36, 3.76), Left Controller Position: (-0.05, 0.63, -1.41), Left Controller Rotation: (358.24, 343.47, 6.97), Right Controller Position: (0.18, 0.60, -1.40), Right Controller Rotation: (1.56, 17.71, 345.83)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.67), Head Rotation: (8.31, 352.34, 3.76), Left Controller Position: (-0.05, 0.63, -1.39), Left Controller Rotation: (358.33, 343.50, 6.98), Right Controller Position: (0.18, 0.60, -1.39), Right Controller Rotation: (1.56, 17.72, 345.83)
2024-06-17 13:41:33, Head Position: (0.08, 0.97, -1.65), Head Rotation: (8.49, 352.32, 3.76), Left Controller Position: (-0.05, 0.63, -1.38), Left Controller Rotation: (358.40, 343.55, 6.99), Right Controller Position: (0.18, 0.60, -1.37), Right Controller Rotation: (1.57, 17.75, 345.81)
